dataset,RCT_tree_id,segment_id,RCT_X,RCT_Y,RCT_height,RCT_DBH,crown_radius,total_vol_L,candidate_status,assigned_GT_ID,assigned_distance_m,nearest_GT_ID,nearest_GT_distance_m,source_candidate_csv,GT_ID_final,represented_GT_IDs,QC_class,include_in_GT_detection,GT_detection_credit,include_in_attribute_accuracy,additional_physical_tree_credit,additional_individual_instance_credit,QC_notes,scanner,GT_ID,status,include_TH_DBH,include_detection,attribute_source
cht_jednoskener_nogrid,1,0,11.6768,-7.9331,25.9518,0.3363,5.6098,2932.3,assigned_to_GT,8.0,0.9877092188031964,8,0.9877092188031964,cht_jednoskener_nogrid_tree_attributes.csv,8,8,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT8; included in detection and TH/DBH accuracy.,Jednoskenner,8,validated_primary_match,True,True,cleaned
cht_jednoskener_nogrid,2,1,13.4357,-2.5479,25.5944,0.2046,4.5678,1510.8,assigned_to_GT,9.0,0.4934618649040141,9,0.4934618649040141,cht_jednoskener_nogrid_tree_attributes.csv,9,9,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT9; included in detection and TH/DBH accuracy.,Jednoskenner,9,validated_primary_match,True,True,original
cht_jednoskener_nogrid,3,2,12.8008,3.7099,2.3589,0.0279,1.1989,2.2,assigned_to_GT,34.0,2.6587493462628915,34,2.6587493462628915,cht_jednoskener_nogrid_tree_attributes.csv,,33;34,split_fragment,False,0,False,0,0,Detached secondary fragment from the GT33/GT34 merged-tree region; excluded from detection and attribute accuracy.,Jednoskenner,,split_fragment,False,False,original
cht_jednoskener_nogrid,4,3,13.682,1.5524,13.2065,0.3362,4.1053,540.1,assigned_to_GT,33.0,0.7293448291931726,34,0.4294447054271985,cht_jednoskener_nogrid_tree_attributes.csv,,33;34,merged_GT_trees,True,1,False,0,0,One RCT segment merges the two separate physical trees GT33 and GT34. Counts as one individual-tree detection for the pair and is excluded from TH/DBH accuracy.,Jednoskenner,,merged_GT_trees,False,True,original
cht_jednoskener_nogrid,5,4,14.8195,5.7028,2.4209,0.0294,1.3494,2.1,unmatched_RCT_candidate,,,13,2.4958856214320773,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Standalone RCT candidate listed as a non-matching/ignore segment and not associated with a coherent physical tree during QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,6,5,15.6095,5.9663,5.8718,0.0969,1.6857,26.6,unmatched_RCT_candidate,,,13,1.6631190235247475,cht_jednoskener_nogrid_tree_attributes.csv,,,genuine_unrecorded_tree,False,0,False,1,1,Small standing tree absent from GT. Retained as a genuine additional tree but excluded from GT-based accuracy.,Jednoskenner,,genuine_unrecorded_tree,False,False,original
cht_jednoskener_nogrid,7,6,16.6585,5.8458,19.7602,0.1652,2.0727,319.5,unmatched_RCT_candidate,,,13,0.8279484189377303,cht_jednoskener_nogrid_tree_attributes.csv,13,13,validated_primary_match,True,1,True,0,0,Validated one-to-one correspondence with GT13; included in detection and TH/DBH accuracy.,Jednoskenner,13,validated_primary_match,True,True,original
cht_jednoskener_nogrid,8,7,17.4109,-7.6869,13.9596,0.3656,3.8787,587.4,assigned_to_GT,32.0,0.43490217716084,32,0.43490217716084,cht_jednoskener_nogrid_tree_attributes.csv,,7;32,merged_GT_trees,True,1,False,0,0,One RCT segment merges the two separate physical trees GT7 and GT32. Counts as one individual-tree detection for the pair and is excluded from TH/DBH accuracy.,Jednoskenner,,merged_GT_trees,False,True,original
cht_jednoskener_nogrid,9,8,17.3712,5.3113,3.0601,0.0326,1.3141,2.7,unmatched_RCT_candidate,,,14,0.9557297829812352,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Standalone RCT candidate listed as a non-matching/ignore segment and not associated with a coherent physical tree during QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
cht_jednoskener_nogrid,10,9,17.9027,8.3718,2.3879,0.0,1.5135,1.9,unmatched_RCT_candidate,,,13,2.0216581558832845,cht_jednoskener_nogrid_tree_attributes.csv,,,rejected_non_tree_segment,False,0,False,0,0,Did not correspond to a recognisable physical tree or coherent stem in the raw point cloud; rejected during visual QC.,Jednoskenner,,rejected_non_tree_segment,False,False,original
