Tree_ID_raw,TH,DBH,X,Y,Tree_ID,Terrain,Scanner,source_file,GT_ID,detection_status,represented_GT_IDs,is_undersegmented,QC_class,QC_note,valid_individual_detection,genuine_unreferenced,invalid_detection
T1,28.90423229916498,0.6242050083191425,37.84937844001381,-7.773213953480425,1,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,34.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T2,26.74567406757072,0.60655329572536,37.75101682117634,-1.548637236154811,2,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,31.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T3,28.08763363226455,0.6149225943714466,34.51810947307854,-4.668611646934577,3,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,33.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T4,26.21955485233403,0.6356333444910457,31.70493462783628,-15.90427872693549,4,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,6.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T5,26.25006082289337,0.5302643223857433,27.03749400900444,-2.883071634914852,5,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,27.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T6,26.60526406912281,0.3512648263595176,24.63436407943898,-6.28556172452285,6,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,17.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T7,25.09223018286223,0.2892316058561659,20.82228259102094,-16.48649571184214,7,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,13.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T8,27.15077565408161,0.4574174817025985,20.52361966273028,-5.471950435835854,8,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,20.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T9,27.34277499173078,0.62360523759676,17.03936458718433,-5.343972347658385,9,Easy,Single sensor,20_20591171_n_e_jednoskenerovy_orezane.xlsx,21.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T1,28.98883402167245,0.5609607659528829,37.82126286616472,-7.811762318060137,1,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,34.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T2,26.72911184365203,0.5863859830933513,37.73364615234976,-1.560208552639952,2,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,31.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T3,28.61960383468253,0.6078586056369509,34.50796940886038,-4.663936714856229,3,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,33.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T4,26.00764518662208,0.6144029144282799,31.70043845536679,-15.90595727425425,4,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,6.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T5,28.24737841468464,0.4934846305092066,27.04702584521795,-2.873924293935034,5,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,27.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T6,26.83324336183557,0.3512135068263147,24.6437706761236,-6.284169939044433,6,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,17.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T7,25.39717714895223,0.2776562382981482,20.83480841942288,-16.4765736357716,7,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,13.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T8,27.64201147742628,0.4583515720400795,20.53126579577041,-5.47962755018367,8,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,20.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T9,29.59945198913502,0.6083201602387658,17.04896443928746,-5.336748335913956,9,Easy,Dual sensor,20_20591171_n_e_dvojskener_orezane.xlsx,21.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T1,29.53599055094871,0.5664934921026609,37.81700937768618,-7.794121599536133,1,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,34.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T2,27.80845562735222,0.5828820407168253,37.7183807189617,-1.560307816506509,2,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,31.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T3,28.838496324397,0.607545372731168,34.49327614948105,-4.665302889575667,3,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,33.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T4,26.95837726489473,0.6205095096830741,31.66876332262774,-15.88595279602132,4,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,6.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T5,30.10463102579634,0.4971638059125605,27.03592447839009,-2.86759965963083,5,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,27.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T6,27.06365606952768,0.3475236812865345,24.62558709605464,-6.279021327051666,6,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,17.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T7,29.72479374007593,0.4547831159362718,20.52336668119646,-5.479712013831914,7,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,20.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T8,25.81930039127053,0.2722812665293597,20.83467895049729,-16.46453194511834,8,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,13.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T9,30.59719605070156,0.6027324139095263,17.0462366618936,-5.345642243517307,9,Easy,Hovermap,20_20591171_n_e_hovermap_orezane.xlsx,21.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T1,21.99074681254828,0.3764075692177261,20.85230858754985,15.1558489547719,1,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,34.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T2,21.5644692492872,0.3516396032509645,30.99273655077337,4.45326016088795,2,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,5.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T3,19.61012291845392,0.242301583113843,27.18147747586253,9.757333106903321,3,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,2.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T4,20.0604515136006,0.3320263116108544,22.13900232174066,12.78321040177977,4,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,27.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T5,21.06266070386559,0.3022414224265803,28.68243251117556,4.244010587291923,5,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,4.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T6,22.47512986246862,0.0,29.81506065722838,-4.406559861720242,6,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,,,,,genuine_unrecorded_tree,Manually reviewed genuine tree absent from GT inventory,False,True,False
T7,19.34346716905928,0.273774348094549,20.25569677457868,9.904912849332419,7,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,28.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T8,21.26652598102492,0.2295857660168652,26.74123031381627,1.259363479130787,8,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,8.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T9,21.18289032896269,0.363078700473257,22.56537278408333,6.64967416919462,9,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,1.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T10,22.17134863267312,0.2504728444126874,27.91690618588728,-2.749180707623403,10,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,11.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T11,20.48828170494995,0.3057538516648374,23.8316588412145,0.850812005731238,11,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,9.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T12,19.33240460239227,0.1937320532928697,17.34597128674221,7.624598799585556,12,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,30.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T13,19.77171537235589,0.2312378499242269,16.28952904039611,7.729822018158365,13,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,29.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T14,18.9777210497142,0.3081587719347571,12.98533889515625,7.006512639770524,14,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,26.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T15,22.53048254341431,0.3284338772108373,17.55925513633545,1.096080442119066,15,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,22.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T16,20.47052024174516,0.2397513164208898,23.05948565346429,-7.681066403610274,16,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,14.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T17,21.45420229767706,0.3251223079932623,15.83849353005162,1.290554685527356,17,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,23.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T18,19.37070592260878,0.257990437276198,21.67610130581743,-5.215374383502973,18,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,15.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T19,20.53976888515577,0.3572224051200361,18.27382534408142,-2.377550867428609,19,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,17.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
T20,20.14173072210574,0.3012578070494967,8.53801380590395,2.562206879787817,20,Intermediate,Single sensor,10_20611471_n_int_jednoskener_orezane.xlsx,25.0,detected_individual,,,validated_primary_match,Distinct 3DFin candidate with an unambiguous GT match,True,False,False
