Terrain,GT_ID,TH_pre_QC,TH_post_QC,DBH
Easy,6,True,True,True
Easy,13,True,False,True
Easy,17,True,False,True
Easy,20,True,False,True
Easy,21,True,True,True
Easy,27,True,True,True
Easy,31,True,False,True
Easy,33,True,True,True
Easy,34,True,False,True
Intermediate,1,True,True,True
Intermediate,2,True,True,True
Intermediate,4,True,False,True
Intermediate,5,True,False,True
Intermediate,8,True,False,True
Intermediate,9,True,True,True
Intermediate,11,True,True,True
Intermediate,14,True,False,True
Intermediate,15,True,False,True
Intermediate,16,True,False,True
Intermediate,17,True,True,True
Intermediate,19,True,False,True
Intermediate,20,True,True,True
Intermediate,22,True,True,True
Intermediate,23,True,False,True
Intermediate,25,True,True,True
Intermediate,26,True,True,False
Intermediate,27,True,True,True
Intermediate,28,True,False,True
Intermediate,29,True,False,True
Intermediate,30,True,True,True
Intermediate,34,True,True,True
Challenging,1,True,False,True
Challenging,2,True,True,True
Challenging,3,True,True,True
Challenging,5,True,False,True
Challenging,6,True,True,True
Challenging,8,True,True,True
Challenging,9,True,True,True
Challenging,13,True,False,True
Challenging,14,True,True,True
Challenging,16,True,True,True
Challenging,18,True,True,True
Challenging,19,True,True,True
Challenging,20,True,True,True
Challenging,23,False,False,False
Challenging,24,False,False,False
Challenging,25,True,False,False
Challenging,26,True,False,True
Challenging,28,True,True,True
Challenging,29,True,True,True
Challenging,30,True,True,True
Challenging,33,False,False,False
Challenging,34,False,False,False
Challenging,35,False,False,False
Challenging,36,False,False,False
Challenging,37,True,False,True
Challenging,32,False,False,False
Challenging,7,False,False,False
