Terrain,GT_ID,X_raw_m,Y_raw_m,X_centred_m,Y_centred_m,X_prepared_m,Y_prepared_m,X_aligned_m,Y_aligned_m
Challenging,1,-0.453,10.43,0.5209629629629631,11.15474074074074,-0.5209629629629631,-11.15474074074074,5.154530441855364,-11.508075533377443
Challenging,2,2.663,9.922,3.6369629629629627,10.646740740740741,-3.6369629629629627,-10.646740740740741,2.219001545286625,-12.670052339260383
Challenging,3,0.693,4.574,1.666962962962963,5.29874074074074,-1.666962962962963,-5.29874074074074,1.1673995314934533,-7.068611702728906
Challenging,5,2.371,11.406,3.344962962962963,12.130740740740741,-3.344962962962963,-12.130740740740741,3.2307631140698483,-13.794266966426083
Challenging,6,5.971,4.983,6.944962962962963,5.70774074074074,-6.944962962962963,-5.70774074074074,-3.1538479870933784,-10.126615117231111
Challenging,7,5.926,1.128,6.899962962962963,1.8527407407407406,-6.899962962962963,-1.8527407407407406,-5.092302199906893,-6.7941317692118695
Challenging,8,11.126,-1.494,12.099962962962962,-0.7692592592592593,-12.099962962962962,0.7692592592592593,-10.901075600766525,-7.210107222172311
Challenging,9,7.283,-5.08,8.256962962962964,-4.35525925925926,-8.256962962962964,4.35525925925926,-9.441098068658704,-2.1607002663268657
Challenging,13,0.375,-11.289,1.348962962962963,-10.56425925925926,-1.348962962962963,10.56425925925926,-6.69514650378656,6.712399248689082
Challenging,14,-0.248,-10.121,0.725962962962963,-9.39625925925926,-0.725962962962963,9.39625925925926,-5.561295722303694,6.029218887927235
Challenging,16,-1.537,-4.153,-0.5630370370370369,-3.428259259259259,0.5630370370370369,3.428259259259259,-1.393962889255338,1.5669456938481021
Challenging,18,-6.254,-10.199,-5.280037037037037,-9.47425925925926,5.280037037037037,9.47425925925926,-0.445324010869955,9.176432488528523
Challenging,19,-6.157,-4.817,-5.183037037037037,-4.09225925925926,5.183037037037037,4.09225925925926,2.231630944153806,4.506395532703258
Challenging,20,-10.246,-3.808,-9.272037037037038,-3.0832592592592594,9.272037037037038,3.0832592592592594,6.259395999041136,5.737293848011421
Challenging,23,-2.77,0.097,-1.796037037037037,0.8217407407407407,1.796037037037037,-0.8217407407407407,1.8441976063730436,-1.4491951524241262
Challenging,24,-2.783,0.51,-1.809037037037037,1.2347407407407407,1.809037037037037,-1.2347407407407407,2.0671699868284685,-1.797076335522668
Challenging,25,-6.477,2.008,-5.503037037037037,2.7327407407407405,5.503037037037037,-2.7327407407407405,6.006628937510875,-1.1885509244770125
Challenging,26,-9.425,5.617,-8.451037037037038,6.3417407407407405,8.451037037037038,-6.3417407407407405,10.388321737070948,-2.7748526644632654
Challenging,28,-5.526,4.867,-4.552037037037037,5.5917407407407405,4.552037037037037,-5.5917407407407405,6.656497532458016,-4.130650992336946
Challenging,29,-7.041,7.342,-6.0670370370370375,8.066740740740741,6.0670370370370375,-8.066740740740741,9.226415616409689,-5.478379096139107
Challenging,30,-6.529,9.642,-5.555037037037037,10.36674074074074,5.555037037037037,-10.36674074074074,9.966462642861712,-7.715447355857507
Challenging,32,6.171,1.201,7.144962962962963,1.9257407407407408,-7.144962962962963,-1.9257407407407408,-5.2651885490967985,-6.982451471483792
Challenging,33,5.29,-7.674,6.263962962962963,-6.94925925925926,-6.263962962962963,6.94925925925926,-9.06053160526767,1.0883079157099314
Challenging,34,5.362,-7.987,6.335962962962963,-7.26225925925926,-6.335962962962963,7.26225925925926,-9.282867494898497,1.3200831347952908
Challenging,35,-2.711,-9.139,-1.737037037037037,-8.414259259259259,1.737037037037037,8.414259259259259,-2.9432513085910657,6.449381294417987
Challenging,36,-2.988,-9.02,-2.014037037037037,-8.295259259259259,2.014037037037037,8.295259259259259,-2.644424274411998,6.489286226992076
Challenging,37,-8.383,-8.514,-7.409037037037036,-7.789259259259259,7.409037037037036,7.789259259259259,2.246533611394921,8.821793881698294
