Terrain,GT_ID,X_raw_m,Y_raw_m,X_centred_m,Y_centred_m,X_prepared_m,Y_prepared_m,X_aligned_m,Y_aligned_m
Intermediate,1,1.403,4.235,1.1836363636363638,4.565454545454546,1.1836363636363638,4.565454545454546,1.9972527065921533,4.36848361519286
Intermediate,2,4.667,8.346,4.447636363636364,8.676454545454545,4.447636363636364,8.676454545454545,6.351627331089955,7.299940357075574
Intermediate,4,7.805,3.759,7.585636363636364,4.0894545454545455,7.585636363636364,4.0894545454545455,7.955555381557383,1.9787536652817455
Intermediate,5,9.901,4.665,9.681636363636363,4.995454545454546,9.681636363636363,4.995454545454546,10.227399364909212,2.2084859340384284
Intermediate,8,6.645,0.332,6.425636363636364,0.6624545454545459,6.425636363636364,0.6624545454545459,5.813515559600975,-0.9369957068613664
Intermediate,9,4.259,-0.932,4.039636363636364,-0.6015454545454543,4.039636363636364,-0.6015454545454543,3.156987685025297,-1.42026752644371
Intermediate,11,8.961,-3.261,8.741636363636363,-2.930545454545454,8.741636363636363,-2.930545454545454,6.934524557803632,-5.062143440694504
Intermediate,14,5.821,-9.065,5.601636363636364,-8.734545454545454,5.601636363636364,-8.734545454545454,2.1863670750260935,-9.644830045596006
Intermediate,15,3.838,-7.215,3.6186363636363637,-6.884545454545454,3.6186363636363637,-6.884545454545454,0.8556691240247027,-7.281774404439686
Intermediate,16,-0.019,-12.209,-0.23836363636363625,-11.878545454545455,-0.23836363636363625,-11.878545454545455,-4.330966764687272,-10.875559756672757
Intermediate,17,-0.218,-5.509,-0.4373636363636363,-5.178545454545454,-0.4373636363636363,-5.178545454545454,-2.4945146946574273,-4.4290843790355225
Intermediate,19,-3.506,-8.998,-3.725363636363636,-8.667545454545454,-3.725363636363636,-8.667545454545454,-6.683667735275641,-6.760406279219874
Intermediate,20,-6.317,-9.683,-6.536363636363636,-9.352545454545455,-6.536363636363636,-9.352545454545455,-9.570202167204137,-6.56326426621597
Intermediate,22,-1.927,-2.373,-2.1463636363636365,-2.042545454545454,-2.1463636363636365,-2.042545454545454,-3.175144848745158,-0.9231009801377876
Intermediate,23,-3.524,-2.712,-3.7433636363636364,-2.3815454545454546,-3.7433636363636364,-2.3815454545454546,-4.799887324826318,-0.7632826882633417
Intermediate,25,-10.579,-3.803,-10.798363636363637,-3.472545454545454,-10.798363636363637,-3.472545454545454,-11.854489149700036,0.33028902520056924
Intermediate,26,-7.549,1.083,-7.768363636363636,1.4134545454545457,-7.768363636363636,1.4134545454545457,-7.488791985997413,4.071222635255534
Intermediate,27,-0.829,10.071,-1.0483636363636362,10.401454545454545,-1.0483636363636362,10.401454545454545,1.6346121829611497,10.606208508983915
Intermediate,28,-2.003,6.707,-2.2223636363636365,7.037454545454546,-2.2223636363636365,7.037454545454546,-0.5017204250448448,7.754743098362508
Intermediate,29,-5.002,3.447,-5.221363636363636,3.777454545454546,-5.221363636363636,3.777454545454546,-4.346153404178412,5.554303126686344
Intermediate,30,-4.075,3.738,-4.294363636363636,4.0684545454545455,-4.294363636363636,4.0684545454545455,-3.374556134845144,5.551345725100888
Intermediate,34,-2.926,12.107,-3.1453636363636366,12.437454545454544,-3.1453636363636366,12.437454545454544,0.25149979515050314,13.181029885834107
