Terrain,Workflow,Scanner,Attribute,n,RMSE,MAE,Bias,R2
Easy,3DFin,Single sensor,TH,4,3.0330475069840372,2.5188107413265914,-2.3749939251943157,-2.45516513788623
Easy,3DFin,Dual sensor,TH,4,1.7213434002435624,1.6412820610602,-1.231480143718934,-0.11287252640828926
Easy,3DFin,Hovermap,TH,4,0.8196361735577056,0.7877908506308984,-0.26854689477494986,0.7476794527683315
Easy,RCT,Single sensor,TH,4,1.5671357351869677,1.4690249999999994,-0.8901250000000003,0.0775908309859159
Easy,RCT,Dual sensor,TH,4,1.2213495476316354,1.1248750000000003,-0.30392500000000044,0.4397390732394362
Easy,RCT,Hovermap,TH,4,0.9781682178950601,0.7781249999999984,0.38937500000000025,0.6406335915492964
Intermediate,3DFin,Single sensor,TH,12,0.9879297511124763,0.762976692381438,0.06375448672535722,0.5754448169067938
Intermediate,3DFin,Dual sensor,TH,12,0.920151165269757,0.7684096524204677,0.2107725341669052,0.6317011356923332
Intermediate,3DFin,Hovermap,TH,12,1.1030479357040763,0.9234603391896942,0.6212800558533527,0.47073790545436367
Intermediate,RCT,Single sensor,TH,12,1.1320917317808954,0.8695583333333339,0.7973416666666667,0.44249950688738515
Intermediate,RCT,Dual sensor,TH,12,1.3333506531166759,1.1434916666666668,1.1434916666666668,0.2266594645964234
Intermediate,RCT,Hovermap,TH,12,1.379127492897834,1.2126999999999997,1.2126999999999997,0.17264699009183215
Challenging,3DFin,Single sensor,TH,13,2.60211564747355,1.9257982594625034,-1.8709243412422356,-0.41379820039747917
Challenging,3DFin,Dual sensor,TH,13,2.4957648293242682,1.7620903706481776,-1.3433334306417473,-0.3005934321040149
Challenging,3DFin,Hovermap,TH,13,2.1309398684167054,1.5705841245704302,-0.827753903806123,0.05185092520877743
Challenging,RCT,Single sensor,TH,13,1.9052440826874077,1.406346153846153,-0.8701461538461531,0.24205886299389667
Challenging,RCT,Dual sensor,TH,13,2.657308581426529,1.9504461538461535,-1.0443076923076917,-0.4744098242852557
Challenging,RCT,Hovermap,TH,13,1.7763051405396793,1.4467538461538456,-0.24299999999999938,0.34117604593639594
Easy,3DFin,Single sensor,DBH,9,0.03637791640629086,0.026543026846028914,0.02578863520086447,0.912636453537923
Easy,3DFin,Dual sensor,DBH,9,0.0171662093766695,0.014243136409987625,0.006403819669331105,0.9805462457672164
Easy,3DFin,Hovermap,DBH,9,0.016297985550520238,0.013899832229517343,0.005351823029058678,0.9824643256720657
Easy,RCT,Single sensor,DBH,9,0.10237938160478297,0.0958222222222222,-0.0958222222222222,0.3080421855643217
Easy,RCT,Dual sensor,DBH,9,0.10211337925180136,0.09646666666666665,-0.09646666666666665,0.3116332072765211
Easy,RCT,Hovermap,DBH,9,0.12818134723031185,0.11713333333333331,-0.11713333333333331,-0.0846866075503685
Intermediate,3DFin,Single sensor,DBH,21,0.024020423999982242,0.018787684271988406,0.018787684271988406,0.808914052359683
Intermediate,3DFin,Dual sensor,DBH,21,0.024922819102075392,0.021620223108668988,0.021620223108668988,0.7942869976766942
Intermediate,3DFin,Hovermap,DBH,21,0.029551323353729946,0.025063243880641423,0.021653658784160063,0.7107846893245777
Intermediate,RCT,Single sensor,DBH,21,0.02865186771939177,0.022761904761904768,-0.019238095238095245,0.7281224879692878
Intermediate,RCT,Dual sensor,DBH,21,0.03044216999961919,0.024180952380952393,-0.02298095238095239,0.6930846385379303
Intermediate,RCT,Hovermap,DBH,21,0.04166706476000303,0.03410000000000001,-0.03331904761904764,0.4250193527747236
Challenging,3DFin,Single sensor,DBH,18,0.0330060618373565,0.027841870597112888,0.02745488627485769,0.9031454350481113
Challenging,3DFin,Dual sensor,DBH,18,0.041913916724172114,0.033620672424014224,0.03278665501211911,0.8438114586229918
Challenging,3DFin,Hovermap,DBH,18,0.023354609544117794,0.021307409622308277,0.021307409622308277,0.9515071288402372
Challenging,RCT,Single sensor,DBH,18,0.06469740248950408,0.05212777777777777,-0.014905555555555552,0.6278599889964699
Challenging,RCT,Dual sensor,DBH,18,0.060935366486867766,0.04607777777777778,-0.021722222222222226,0.6698802316503787
Challenging,RCT,Hovermap,DBH,18,0.0749354833618004,0.05785555555555555,-0.04762222222222222,0.5007619217487107
