Terrain,Scanner,Workflow,GT_ID,Tree_ID,segment_id,Attribute,QC_stage,GT_value,Predicted_value,Error,Absolute_error
Easy,Single sensor,3DFin,6,4.0,,TH,Post-QC,27.7,26.21955485233403,-1.480445147665968,1.480445147665968
Easy,Dual sensor,3DFin,6,4.0,,TH,Post-QC,27.7,26.007645186622074,-1.6923548133779178,1.6923548133779178
Easy,Hovermap,3DFin,6,4.0,,TH,Post-QC,27.7,26.8144351690689,-0.8855648309310986,0.8855648309310986
Easy,Single sensor,RCT,6,,6.0,TH,Post-QC,27.7,26.9184,-0.7816000000000011,0.7816000000000011
Easy,Dual sensor,RCT,6,,6.0,TH,Post-QC,27.7,27.2505,-0.4495000000000005,0.4495000000000005
Easy,Hovermap,RCT,6,,7.0,TH,Post-QC,27.7,27.3759,-0.32409999999999783,0.32409999999999783
Easy,Single sensor,3DFin,6,4.0,,DBH,Post-QC,0.631,0.6356333444910457,0.004633344491045689,0.004633344491045689
Easy,Dual sensor,3DFin,6,4.0,,DBH,Post-QC,0.631,0.6144029144282799,-0.016597085571720127,0.016597085571720127
Easy,Hovermap,3DFin,6,4.0,,DBH,Post-QC,0.631,0.620277717996346,-0.010722282003653992,0.010722282003653992
Easy,Single sensor,RCT,6,,6.0,DBH,Post-QC,0.631,0.5086,-0.12239999999999995,0.12239999999999995
Easy,Dual sensor,RCT,6,,6.0,DBH,Post-QC,0.631,0.5076,-0.12339999999999995,0.12339999999999995
Easy,Hovermap,RCT,6,,7.0,DBH,Post-QC,0.631,0.3966,-0.2344,0.2344
Easy,Single sensor,3DFin,13,7.0,,DBH,Post-QC,0.248,0.2892316058561659,0.04123160585616592,0.04123160585616592
Easy,Dual sensor,3DFin,13,7.0,,DBH,Post-QC,0.248,0.2776562382981482,0.029656238298148174,0.029656238298148174
Easy,Hovermap,3DFin,13,8.0,,DBH,Post-QC,0.248,0.272024742783437,0.024024742783437025,0.024024742783437025
Easy,Single sensor,RCT,13,,1.0,DBH,Post-QC,0.248,0.2292,-0.018800000000000008,0.018800000000000008
Easy,Dual sensor,RCT,13,,1.0,DBH,Post-QC,0.248,0.2296,-0.0184,0.0184
Easy,Hovermap,RCT,13,,2.0,DBH,Post-QC,0.248,0.217,-0.031,0.031
Easy,Single sensor,3DFin,17,6.0,,DBH,Post-QC,0.35100000000000003,0.3512648263595176,0.00026482635951763367,0.00026482635951763367
Easy,Dual sensor,3DFin,17,6.0,,DBH,Post-QC,0.35100000000000003,0.3512135068263147,0.0002135068263147133,0.0002135068263147133
Easy,Hovermap,3DFin,17,6.0,,DBH,Post-QC,0.35100000000000003,0.347523771961134,-0.003476228038865992,0.003476228038865992
Easy,Single sensor,RCT,17,,3.0,DBH,Post-QC,0.35100000000000003,0.2686,-0.08240000000000003,0.08240000000000003
Easy,Dual sensor,RCT,17,,3.0,DBH,Post-QC,0.35100000000000003,0.2638,-0.08720000000000007,0.08720000000000007
Easy,Hovermap,RCT,17,,4.0,DBH,Post-QC,0.35100000000000003,0.2558,-0.0952,0.0952
Easy,Single sensor,3DFin,20,8.0,,DBH,Post-QC,0.45299999999999996,0.4574174817025985,0.004417481702598479,0.004417481702598479
Easy,Dual sensor,3DFin,20,8.0,,DBH,Post-QC,0.45299999999999996,0.4583515720400795,0.0053515720400794655,0.0053515720400794655
Easy,Hovermap,3DFin,20,7.0,,DBH,Post-QC,0.45299999999999996,0.454347862965695,0.0013478629656950016,0.0013478629656950016
Easy,Single sensor,RCT,20,,2.0,DBH,Post-QC,0.453,0.329,-0.124,0.124
Easy,Dual sensor,RCT,20,,2.0,DBH,Post-QC,0.453,0.3326,-0.12039999999999995,0.12039999999999995
Easy,Hovermap,RCT,20,,3.0,DBH,Post-QC,0.453,0.335,-0.11799999999999995,0.11799999999999995
Easy,Single sensor,3DFin,21,9.0,,TH,Post-QC,31.4,27.34277499173078,-4.057225008269217,4.057225008269217
Easy,Dual sensor,3DFin,21,9.0,,TH,Post-QC,31.4,29.599451989135016,-1.8005480108649792,1.8005480108649792
Easy,Hovermap,3DFin,21,9.0,,TH,Post-QC,31.4,30.5971943996937,-0.8028056003063001,0.8028056003063001
Easy,Single sensor,RCT,21,,0.0,TH,Post-QC,31.4,29.6801,-1.719899999999999,1.719899999999999
Easy,Dual sensor,RCT,21,,0.0,TH,Post-QC,31.4,30.487,-0.9130000000000004,0.9130000000000004
Easy,Hovermap,RCT,21,,1.0,TH,Post-QC,31.4,30.9466,-0.4533999999999985,0.4533999999999985
Easy,Single sensor,3DFin,21,9.0,,DBH,Post-QC,0.627,0.62360523759676,-0.003394762403239993,0.003394762403239993
Easy,Dual sensor,3DFin,21,9.0,,DBH,Post-QC,0.627,0.6083201602387658,-0.018679839761234215,0.018679839761234215
Easy,Hovermap,3DFin,21,9.0,,DBH,Post-QC,0.627,0.602732468640456,-0.02426753135954396,0.02426753135954396
Easy,Single sensor,RCT,21,,0.0,DBH,Post-QC,0.627,0.4994,-0.1276,0.1276
Easy,Dual sensor,RCT,21,,0.0,DBH,Post-QC,0.627,0.5026,-0.12439999999999996,0.12439999999999996
Easy,Hovermap,RCT,21,,1.0,DBH,Post-QC,0.627,0.4856,-0.14140000000000005,0.14140000000000005
Easy,Single sensor,3DFin,27,5.0,,TH,Post-QC,30.5,26.25006082289337,-4.249939177106629,4.249939177106629
Easy,Dual sensor,3DFin,27,5.0,,TH,Post-QC,30.5,28.24737841468464,-2.2526215853153597,2.2526215853153597
Easy,Hovermap,3DFin,27,5.0,,TH,Post-QC,30.5,30.075694940425702,-0.4243050595743014,0.4243050595743014
Easy,Single sensor,RCT,27,,4.0,TH,Post-QC,30.5,28.2832,-2.216799999999999,2.216799999999999
Easy,Dual sensor,RCT,27,,4.0,TH,Post-QC,30.5,29.0049,-1.4951000000000008,1.4951000000000008
Easy,Hovermap,RCT,27,,5.0,TH,Post-QC,30.5,31.0388,0.5387999999999984,0.5387999999999984
Easy,Single sensor,3DFin,27,5.0,,DBH,Post-QC,0.488,0.5302643223857433,0.042264322385743285,0.042264322385743285
Easy,Dual sensor,3DFin,27,5.0,,DBH,Post-QC,0.488,0.4934846305092066,0.005484630509206612,0.005484630509206612
Easy,Hovermap,3DFin,27,5.0,,DBH,Post-QC,0.488,0.49635056953193896,0.008350569531939023,0.008350569531939023
Easy,Single sensor,RCT,27,,4.0,DBH,Post-QC,0.488,0.4348,-0.05319999999999997,0.05319999999999997
Easy,Dual sensor,RCT,27,,4.0,DBH,Post-QC,0.488,0.419,-0.069,0.069
Easy,Hovermap,RCT,27,,5.0,DBH,Post-QC,0.488,0.4098,-0.07819999999999999,0.07819999999999999
Easy,Single sensor,3DFin,31,2.0,,DBH,Post-QC,0.5579999999999999,0.60655329572536,0.048553295725359935,0.048553295725359935
Easy,Dual sensor,3DFin,31,2.0,,DBH,Post-QC,0.5579999999999999,0.5863859830933513,0.028385983093351275,0.028385983093351275
Easy,Hovermap,3DFin,31,2.0,,DBH,Post-QC,0.5579999999999999,0.582990984814901,0.02499098481490092,0.02499098481490092
Easy,Single sensor,RCT,31,,9.0,DBH,Post-QC,0.5579999999999999,0.4552,-0.10279999999999996,0.10279999999999996
Easy,Dual sensor,RCT,31,,9.0,DBH,Post-QC,0.5579999999999999,0.4532,-0.10479999999999996,0.10479999999999996
Easy,Hovermap,RCT,31,,10.0,DBH,Post-QC,0.5579999999999999,0.4344,-0.12359999999999992,0.12359999999999992
Easy,Single sensor,3DFin,33,3.0,,TH,Post-QC,27.8,28.087633632264552,0.28763363226454786,0.28763363226454786
Easy,Dual sensor,3DFin,33,3.0,,TH,Post-QC,27.8,28.619603834682533,0.8196038346825283,0.8196038346825283
Easy,Hovermap,3DFin,33,3.0,,TH,Post-QC,27.8,28.838487911711898,1.0384879117119006,1.0384879117119006
Easy,Single sensor,RCT,33,,7.0,TH,Post-QC,27.8,28.9578,1.1577999999999982,1.1577999999999982
Easy,Dual sensor,RCT,33,,7.0,TH,Post-QC,27.8,29.4419,1.6418999999999997,1.6418999999999997
Easy,Hovermap,RCT,33,,8.0,TH,Post-QC,27.8,29.5962,1.7961999999999991,1.7961999999999991
Easy,Single sensor,3DFin,33,3.0,,DBH,Post-QC,0.596,0.6149225943714466,0.01892259437144661,0.01892259437144661
Easy,Dual sensor,3DFin,33,3.0,,DBH,Post-QC,0.596,0.6078586056369509,0.011858605636950958,0.011858605636950958
Easy,Hovermap,3DFin,33,3.0,,DBH,Post-QC,0.596,0.60754536365679,0.011545363656790042,0.011545363656790042
Easy,Single sensor,RCT,33,,7.0,DBH,Post-QC,0.596,0.4658,-0.13019999999999998,0.13019999999999998
Easy,Dual sensor,RCT,33,,7.0,DBH,Post-QC,0.596,0.468,-0.128,0.128
Easy,Hovermap,RCT,33,,8.0,DBH,Post-QC,0.596,0.4626,-0.13339999999999996,0.13339999999999996
Easy,Single sensor,3DFin,34,1.0,,DBH,Post-QC,0.5489999999999999,0.6242050083191425,0.07520500831914245,0.07520500831914245
Easy,Dual sensor,3DFin,34,1.0,,DBH,Post-QC,0.5489999999999999,0.5609607659528829,0.011960765952882868,0.011960765952882868
Easy,Hovermap,3DFin,34,1.0,,DBH,Post-QC,0.5489999999999999,0.5653729249108299,0.016372924910829978,0.016372924910829978
Easy,Single sensor,RCT,34,,8.0,DBH,Post-QC,0.5489999999999999,0.448,-0.10099999999999998,0.10099999999999998
Easy,Dual sensor,RCT,34,,8.0,DBH,Post-QC,0.5489999999999999,0.4564,-0.09259999999999996,0.09259999999999996
Easy,Hovermap,RCT,34,,9.0,DBH,Post-QC,0.5489999999999999,0.45,-0.09899999999999992,0.09899999999999992
Intermediate,Single sensor,3DFin,1,9.0,,TH,Post-QC,21.2,21.182890328962692,-0.017109671037310648,0.017109671037310648
Intermediate,Dual sensor,3DFin,1,8.0,,TH,Post-QC,21.2,21.72885372260434,0.5288537226043424,0.5288537226043424
Intermediate,Hovermap,3DFin,1,7.0,,TH,Post-QC,21.2,22.11849734642766,0.9184973464276602,0.9184973464276602
Intermediate,Single sensor,RCT,1,,14.0,TH,Post-QC,21.2,21.887,0.6869999999999976,0.6869999999999976
Intermediate,Dual sensor,RCT,1,,14.0,TH,Post-QC,21.2,21.8724,0.6723999999999997,0.6723999999999997
Intermediate,Hovermap,RCT,1,,13.0,TH,Post-QC,21.2,22.141,0.940999999999999,0.940999999999999
Intermediate,Single sensor,3DFin,1,9.0,,DBH,Post-QC,0.34,0.363078700473257,0.023078700473257,0.023078700473257
Intermediate,Dual sensor,3DFin,1,8.0,,DBH,Post-QC,0.34,0.3735414201783551,0.0335414201783551,0.0335414201783551
Intermediate,Hovermap,3DFin,1,7.0,,DBH,Post-QC,0.34,0.3869042640584272,0.04690426405842718,0.04690426405842718
Intermediate,Single sensor,RCT,1,,14.0,DBH,Post-QC,0.34,0.2764,-0.06360000000000005,0.06360000000000005
Intermediate,Dual sensor,RCT,1,,14.0,DBH,Post-QC,0.34,0.279,-0.06100000000000005,0.06100000000000005
Intermediate,Hovermap,RCT,1,,13.0,DBH,Post-QC,0.34,0.2784,-0.06160000000000005,0.06160000000000005
Intermediate,Single sensor,3DFin,2,3.0,,TH,Post-QC,20.0,19.61012291845392,-0.3898770815460786,0.3898770815460786
Intermediate,Dual sensor,3DFin,2,3.0,,TH,Post-QC,20.0,19.25304254079218,-0.7469574592078203,0.7469574592078203
Intermediate,Hovermap,3DFin,2,3.0,,TH,Post-QC,20.0,19.755345500502912,-0.2446544994970914,0.2446544994970914
