Terrain,Scanner,Attribute,n,Mean_delta_abs_error,CI_lower,CI_upper,CI_excludes_zero,Result
Easy,Single sensor,TH,9,0.005500000000000209,-0.04158888888888749,0.06654472222222174,False,Uncertain
Easy,Dual sensor,TH,9,-0.43719999999999953,-1.0269477777777773,-0.020188888888888413,True,Improved
Easy,Hovermap,TH,9,0.028511111111110585,0.00533333333333314,0.05279999999999932,True,Worsened
Intermediate,Single sensor,TH,22,-0.20520454545454553,-0.4729556818181817,0.036454545454545434,False,Uncertain
Intermediate,Dual sensor,TH,22,-0.32499090909090905,-0.6923673863636364,-0.04299238636364212,True,Improved
Intermediate,Hovermap,TH,22,-0.18059090909090889,-0.36301022727272686,-0.03286363636363632,True,Improved
Challenging,Single sensor,TH,19,-0.25218947368421074,-0.8896347368421061,0.2612447368421048,False,Uncertain
Challenging,Dual sensor,TH,19,-0.3652368421052628,-1.1900485526315783,0.25355131578947343,False,Uncertain
Challenging,Hovermap,TH,19,-0.4739894736842098,-1.2632485526315782,0.014058421052631817,False,Uncertain
Easy,Single sensor,DBH,9,0.0015333333333333434,-8.888888888887293e-05,0.0040888888888889014,False,Uncertain
Easy,Dual sensor,DBH,9,0.0019333333333333364,-0.0002666666666666681,0.004911111111111113,False,Uncertain
Easy,Hovermap,DBH,9,0.0008000000000000044,-0.00044444444444444474,0.003000000000000015,False,Uncertain
Intermediate,Single sensor,DBH,22,-0.004154545454545453,-0.009218181818181815,5.4545454545452364e-05,False,Uncertain
Intermediate,Dual sensor,DBH,22,-0.006381818181818183,-0.012236590909090912,-0.0015479545454546418,True,Improved
Intermediate,Hovermap,DBH,22,-0.006186363636363635,-0.012373522727272724,-0.0013363636363636355,True,Improved
Challenging,Single sensor,DBH,19,0.003489473684210523,-0.007468815789473693,0.015731710526315786,False,Uncertain
Challenging,Dual sensor,DBH,19,-0.0024105263157894754,-0.004957894736842106,-0.00025236842105263947,True,Improved
Challenging,Hovermap,DBH,19,-0.0005421052631578993,-0.024844210526315795,0.02159513157894736,False,Uncertain
