Terrain,Scanner,Attribute,n,RMSE_3DFin,RMSE_RCT,Delta_RMSE_RCT_minus_3DFin,CI_lower,CI_upper,CI_excludes_zero,Interpretation
Easy,Single sensor,TH,4,3.0330475069840372,1.5671357351869677,-1.4659117717970696,-2.1707315895072954,-0.0786326151275415,True,RCT lower RMSE
Easy,Dual sensor,TH,4,1.721343400243559,1.2213495476316354,-0.49999385261192364,-1.0276991358811267,0.3351208381281088,False,Uncertain
Easy,Hovermap,TH,4,0.8196361735577072,0.9781682178950603,0.15853204433735302,-0.4511097069039574,0.5871181283930711,False,Uncertain
Intermediate,Single sensor,TH,12,0.9879297511124767,1.1320917317808952,0.14416198066841845,-0.23799088509872213,0.4422754447316614,False,Uncertain
Intermediate,Dual sensor,TH,12,0.9201511652697583,1.3333506531166759,0.4131994878469176,0.05769405628015909,0.7129857430851236,True,3DFin lower RMSE
Intermediate,Hovermap,TH,12,1.1030479357040772,1.379127492897834,0.2760795571937569,0.06341676975761185,0.5111711516989503,True,3DFin lower RMSE
Challenging,Single sensor,TH,13,2.602115647473549,1.905244082687408,-0.696871564786141,-1.0699006645216946,-0.3349097903361285,True,RCT lower RMSE
Challenging,Dual sensor,TH,13,2.495764829324268,2.657308581426529,0.16154375210226135,-1.2564425331554694,1.8179464487107404,False,Uncertain
Challenging,Hovermap,TH,13,2.1309398684167062,1.7763051405396793,-0.354634727877027,-0.7802398931028476,0.1730679754986225,False,Uncertain
Easy,Single sensor,DBH,9,0.03637791640629082,0.10237938160478299,0.06600146519849218,0.03792566029302984,0.09576917552488742,True,3DFin lower RMSE
Easy,Dual sensor,DBH,9,0.017166209376669468,0.10211337925180136,0.0849471698751319,0.06310557008616713,0.10234233114245285,True,3DFin lower RMSE
Easy,Hovermap,DBH,9,0.016297985550520217,0.12818134723031183,0.11188336167979161,0.07661947743878864,0.1512897277188193,True,3DFin lower RMSE
Intermediate,Single sensor,DBH,21,0.024020423999982242,0.028651867719391766,0.004631443719409524,-0.007769438569936121,0.016624874324947764,False,Uncertain
Intermediate,Dual sensor,DBH,21,0.024922819102075392,0.030442169999619195,0.005519350897543802,-0.006270929519780525,0.0158830283974572,False,Uncertain
Intermediate,Hovermap,DBH,21,0.029551323353729952,0.04166706476000303,0.012115741406273077,-0.004088424868222122,0.02864853740787387,False,Uncertain
Challenging,Single sensor,DBH,18,0.0330060618373565,0.06469740248950408,0.03169134065214758,0.008760346405934857,0.055332337763476264,True,3DFin lower RMSE
Challenging,Dual sensor,DBH,18,0.041913916724172114,0.060935366486867766,0.019021449762695652,-0.011567325804712677,0.050305081406829,False,Uncertain
Challenging,Hovermap,DBH,18,0.023354609544117794,0.07493548336180039,0.0515808738176826,0.027614278609192997,0.07142932211910752,True,3DFin lower RMSE
