Bootstrap_iteration,Delta_RMSE_RCT_minus_3DFin
1,-1.0554518582599637
2,-0.5433337171246015
3,-1.1477883829049351
4,-0.6770900754866911
5,-0.9602908010012741
6,-0.5372654474009568
7,-1.307807582347903
8,-0.6261645003350527
9,-0.5861808620880309
10,-1.1311054506958533
11,-1.2395888598751517
12,-0.7489038460243937
13,-0.7580236108944614
14,-0.722174491938314
15,-0.5616084056543027
16,-1.2893535503941258
17,-0.5051023611181997
18,-0.9820411758659819
19,-1.0063867605147485
20,-1.410431783194762
21,-0.9374282523458555
22,-0.44734843683704417
23,-1.6307573123901602
24,-2.003502584373603
25,-1.2690780863791817
26,-0.2055725837776945
27,-0.24319654909642718
28,-0.7536428539658417
29,-0.22691804109072056
30,-0.6549671122926073
31,-0.6900066068673205
32,0.028472779320899866
33,-0.2870053650613107
34,-1.1155504587603657
35,-0.3383433456614613
36,-0.5716336998688365
37,-1.3135482065781807
38,-0.8814527587655057
39,-0.7649494376961459
40,-1.117804762338607
41,-0.7008161853066106
42,-0.7235526856675638
43,-0.577482476335458
44,-0.7462757831096094
45,-0.9289927460320813
46,-0.7617598759036439
47,-0.6358664011637196
48,-0.43756279237537266
49,0.07506258688255929
50,-0.3474128098641964
51,-0.6512350190250393
52,-1.4166483296142536
53,-0.5276028402748865
54,-0.9284850475049904
55,-0.8365012938910192
56,-0.3452765432113085
57,-0.1589516594002518
58,-0.7270512848088715
59,-0.5397713680566323
60,-1.320850562731131
61,-1.081072021910229
62,-0.14804795514572477
63,-0.7560433820875203
64,-0.5697515969363616
65,-0.6387481462649807
66,-1.3281098955787474
67,-1.5542814108394303
68,0.03568967505950971
69,-0.5690553263516225
70,-0.7585720808061427
71,-0.6707030404073246
72,-0.2875750073045005
73,-0.9801970745753426
74,-0.7022189324450172
75,-0.441530715412654
76,-0.7093734691196816
77,-1.1838738383348366
78,-1.023699080841557
79,-1.1750138280138633
80,-0.7862009280634388
81,-0.7490663537849327
82,-1.1035208151443894
83,-0.866275834542209
84,0.1927526312194393
85,-0.6414746780540839
86,-0.8638117256586015
87,-0.48143211224056026
88,-0.21982679056404808
89,-1.0324987516412554
90,-0.988763642866799
91,-0.6866211662163126
92,-1.6092333714034188
93,-0.767330045056053
94,-0.6682162404610237
95,-0.23098559040075095
96,-0.40925348462182165
97,-1.0582476828661194
98,-0.43214459113282766
99,-1.1055467750862025
100,-0.32170708297409956
101,-0.6659183869720744
102,-1.2175414694313127
103,-0.5723844857005456
104,-1.2813635058236883
105,-0.4583719547503655
106,-0.8235694175429269
107,-0.07014901827612796
108,-0.7611473011146574
109,-0.13747360195659564
110,-0.468285340469629
111,-0.3910682048967522
112,-0.8234966887667905
113,-0.9069425380703708
114,-0.8339324986502916
